name,id,uri,popularity,genres,followers
Cö shu Nie,0LlH6J1tj2TPq7AlwXAkY5,spotify:artist:0LlH6J1tj2TPq7AlwXAkY5,54,"anime, j-pixie",325726
Epic Rap Battles of History,0Rq2hV3S3O4JMWbL2B510w,spotify:artist:0Rq2hV3S3O4JMWbL2B510w,51,"antiviral pop, comic",411897
MAMAMOO,0XATRDCYuuGhk0oE7C0o5G,spotify:artist:0XATRDCYuuGhk0oE7C0o5G,61,"k-pop, k-pop girl group",7338710
jon-YAKITORY,0XDvcwWavm2VcdiXwDKgvB,spotify:artist:0XDvcwWavm2VcdiXwDKgvB,54,anime,103609
Aimer,0bAsR2unSRpn6BQPEnNlZm,spotify:artist:0bAsR2unSRpn6BQPEnNlZm,66,"anime, anime rock, j-pixie, j-pop, j-poprock",2513566
LiSA,0blbVefuxOGltDBa00dspv,spotify:artist:0blbVefuxOGltDBa00dspv,67,"anime, anime rock, j-pixie, j-pop",3192664
BiSH,0ebinq3ZTOQAJNag4sBTJj,spotify:artist:0ebinq3ZTOQAJNag4sBTJj,50,"anime, idol rock, j-pixie, j-pop, j-rock",390409
EGOIST,0k7JZhYS35IewiKNHW7KMj,spotify:artist:0k7JZhYS35IewiKNHW7KMj,52,"anime, anime rock, j-pixie",735459
Ahn Ye Eun,0qQQYIK5Sxnzt72fGyTcvs,spotify:artist:0qQQYIK5Sxnzt72fGyTcvs,46,"joseon pop, korean singer-songwriter",86218
GFRIEND,0qlWcS66ohOIi0M8JZwPft,spotify:artist:0qlWcS66ohOIi0M8JZwPft,60,"k-pop, k-pop girl group",1632345
Hello Sleepwalkers,12CmFAwzxYnVtJgnzIysvm,spotify:artist:12CmFAwzxYnVtJgnzIysvm,44,"anime rock, okinawan pop",166718
Girl's Day,13kJgvU22LHMsJtGWLmx7W,spotify:artist:13kJgvU22LHMsJtGWLmx7W,47,"k-pop, k-pop girl group",703343
GReeeeN,14T8NkbwXVZgbOvwnuGV89,spotify:artist:14T8NkbwXVZgbOvwnuGV89,62,"j-pop, j-pop boy group",2346347
RADWIMPS,1EowJ1WwkMzkCkRomFhui7,spotify:artist:1EowJ1WwkMzkCkRomFhui7,72,"j-pop, j-rock, visual kei",4105693
Beast,1Pr9gT0veB2tgcisQeIGoC,spotify:artist:1Pr9gT0veB2tgcisQeIGoC,50,"k-pop, k-pop boy group",458163
2NE1,1l0mKo96Jh9HVYONcRl3Yp,spotify:artist:1l0mKo96Jh9HVYONcRl3Yp,61,"dance pop, k-pop, k-pop girl group",2477224
HENRY,1sjw4xq2pAWy5Vdgba5QAt,spotify:artist:1sjw4xq2pAWy5Vdgba5QAt,52,k-pop,510069
Miso,1ukccHTdm6Xjmag0QLNJBx,spotify:artist:1ukccHTdm6Xjmag0QLNJBx,11,k-pop,34652
PENTAGON,1wKpMkucynaTfG8lyPprYV,spotify:artist:1wKpMkucynaTfG8lyPprYV,52,"k-pop, k-pop boy group",2199418
Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,spotify:artist:1yxSLGMDHlW21z4YXirZDS,81,"dance pop, pop, pop rap",8353252
